Message ke-0;606;1660596069.89718
Message ke-1;488;1660596069.899094
Message ke-2;955;1660596070.404264
Message ke-3;586;1660596070.405913
Message ke-4;68;1660596070.407058
Message ke-5;977;1660596070.914883
Message ke-6;135;1660596070.917112
Message ke-7;968;1660596070.9189
Message ke-8;279;1660596071.425573
Message ke-9;258;1660596071.428332
Message ke-0;172;1660596082.34275
Message ke-1;204;1660596082.344538
Message ke-2;550;1660596082.348193
Message ke-3;715;1660596082.351734
Message ke-4;586;1660596082.355975
Message ke-5;548;1660596082.358969
Message ke-6;844;1660596082.361444
Message ke-7;667;1660596082.364546
Message ke-8;954;1660596082.369774
Message ke-9;910;1660596082.372425
Message ke-10;448;1660596082.375821
Message ke-11;983;1660596082.37838
Message ke-12;657;1660596082.381893
Message ke-13;999;1660596082.384777
Message ke-14;599;1660596082.428322
Message ke-15;21;1660596082.435161
Message ke-16;75;1660596082.438446
Message ke-17;883;1660596082.441036
Message ke-18;301;1660596082.442977
Message ke-19;236;1660596082.946868
Message ke-20;600;1660596082.948808
Message ke-21;668;1660596082.950795
Message ke-22;242;1660596083.461611
Message ke-23;669;1660596083.463778
Message ke-24;913;1660596083.974562
Message ke-25;752;1660596083.977169
Message ke-26;723;1660596084.48504
Message ke-27;153;1660596084.489592
Message ke-28;55;1660596084.996108
Message ke-29;940;1660596084.999898
Message ke-30;677;1660596085.509274
Message ke-31;342;1660596085.512014
Message ke-32;86;1660596085.514104
Message ke-33;277;1660596086.022117
Message ke-34;487;1660596086.024213
Message ke-35;643;1660596086.530672
Message ke-36;947;1660596086.533666
Message ke-37;463;1660596087.045123
Message ke-38;887;1660596087.047432
Message ke-39;919;1660596087.049447
Message ke-40;734;1660596087.560112
Message ke-41;56;1660596087.562052
Message ke-42;254;1660596088.073211
Message ke-43;108;1660596088.075909
Message ke-44;71;1660596088.583661
Message ke-45;900;1660596088.585689
Message ke-46;784;1660596089.100308
Message ke-47;372;1660596089.104345
Message ke-48;172;1660596089.61365
Message ke-49;560;1660596089.616231
Message ke-50;521;1660596089.618516
Message ke-51;241;1660596090.1278
Message ke-52;683;1660596090.131329
Message ke-53;318;1660596090.639298
Message ke-54;138;1660596090.641902
Message ke-55;37;1660596090.643497
Message ke-56;108;1660596091.154873
Message ke-57;331;1660596091.156955
Message ke-58;286;1660596091.666891
Message ke-59;768;1660596091.670414
Message ke-60;800;1660596091.672412
Message ke-61;695;1660596092.179317
Message ke-62;382;1660596092.181921
Message ke-63;474;1660596092.690703
Message ke-64;685;1660596092.692941
Message ke-65;38;1660596093.204287
Message ke-66;50;1660596093.207505
Message ke-67;621;1660596093.715637
Message ke-68;876;1660596093.718189
Message ke-69;400;1660596094.228123
Message ke-70;279;1660596094.230973
Message ke-71;429;1660596094.74359
Message ke-72;493;1660596094.745744
Message ke-73;450;1660596095.256916
Message ke-74;513;1660596095.261506
Message ke-75;556;1660596095.770565
Message ke-76;301;1660596095.773602
Message ke-77;757;1660596096.28418
Message ke-78;1;1660596096.286349
Message ke-79;699;1660596096.79614
Message ke-80;415;1660596096.798774
Message ke-81;844;1660596096.801136
Message ke-82;319;1660596096.802673
Message ke-83;671;1660596097.31175
Message ke-84;750;1660596097.313537
Message ke-85;952;1660596097.825702
Message ke-86;191;1660596097.832267
Message ke-87;387;1660596097.833767
Message ke-88;422;1660596098.337715
Message ke-89;235;1660596098.33973
Message ke-90;946;1660596098.851446
Message ke-91;98;1660596098.854103
Message ke-92;995;1660596099.361486
Message ke-93;859;1660596099.363144
Message ke-94;424;1660596099.875118
Message ke-95;592;1660596099.877178
Message ke-96;734;1660596100.387136
Message ke-97;49;1660596100.391558
Message ke-98;606;1660596100.901875
Message ke-99;508;1660596100.904126
Pesan ke-0;618;1660597007.829404
Pesan ke-1;375;1660597007.830403
Pesan ke-2;131;1660597008.346049
Pesan ke-3;628;1660597008.348261
Pesan ke-4;474;1660597008.861154
Pesan ke-5;222;1660597008.863667
